iter	Logloss
0	0.6791795429
1	0.6641752009
2	0.6500538608
3	0.6358006795
4	0.6213949103
5	0.6070131001
6	0.5935572574
7	0.5817077369
8	0.5702910842
9	0.558888084
10	0.5477024212
11	0.5375656998
12	0.5268999401
13	0.5184339891
14	0.5085407726
15	0.4998680918
16	0.4902229309
17	0.4807464198
18	0.4716330746
19	0.4628112525
20	0.4535525138
21	0.4453882251
22	0.4389208409
23	0.4308527896
24	0.4214833912
25	0.4140629015
26	0.4068828382
27	0.4008057243
28	0.3943535654
29	0.388085382
30	0.3822421358
31	0.3757558789
32	0.3695486638
33	0.3653147179
34	0.3592400133
35	0.3546029476
36	0.3493882564
37	0.3447558754
38	0.3395391765
39	0.3341468677
